participant_id,agent_type,group,modality,voice,distance,word
14,0,0,1,1,3.216459,Pizza
14,0,0,1,1,3.228039,Vegas
14,1,1,0,0,3.306421,Orchestra
14,1,1,1,0,3.386495,Vegas
14,1,1,1,0,3.392488,Orchestra
14,1,1,2,0,3.261177,Holiday
14,1,1,2,0,3.310436,Tent
14,1,1,0,1,3.212448,Dream
14,1,1,1,1,2.997974, TOO_NEAR
14,1,1,1,1,3.366261,Icecream
14,1,1,1,1,3.307783,Calculator
14,1,1,2,1,3.27305,Brains
14,1,1,2,1,3.222793,Pizza
15,1,0,0,0,1.485348,Seaside
15,1,0,1,0,1.173799,Brains
15,1,0,1,0,1.168955,Tent
15,1,0,2,0,1.239026,Garlic
15,1,0,2,0,1.283321,Garlic
15,1,0,0,1,2.995704, TOO_NEAR
15,1,0,0,1,2.759295,Pizza
15,1,0,2,1,2.994586, TOO_NEAR
15,1,0,2,1,3.054607,Rabbit
15,1,0,2,1,2.995724, TOO_NEAR
15,1,0,2,1,3.055324,Pizza
15,1,0,1,1,2.99307, TOO_NEAR
15,1,0,1,1,2.987994, TOO_NEAR
15,1,0,1,1,3.959747,Android
15,1,0,1,1,2.998409, TOO_NEAR
15,1,0,1,1,3.142015,Garlic
15,1,0,1,1,2.992826, TOO_NEAR
15,1,0,1,1,2.999454, TOO_NEAR
15,0,1,0,0,2.476512,Clown
15,0,1,1,0,2.063014,Aquarium
15,0,1,1,0,2.038242,Icecream
15,0,1,2,0,2.157955,Pizza
15,0,1,2,0,2.070405,Clown
15,0,1,0,1,2.998734, TOO_NEAR
15,0,1,0,1,3.220045,Football
15,0,1,0,1,2.999126, TOO_NEAR
15,0,1,1,1,2.996263, TOO_NEAR
15,0,1,1,1,3.214241,Jetpack
15,0,1,1,1,2.997504, TOO_NEAR
15,0,1,1,1,2.995914, TOO_NEAR
15,0,1,1,1,3.282725,Android
15,0,1,1,1,2.998951, TOO_NEAR
15,0,1,2,1,2.999002, TOO_NEAR
15,0,1,2,1,3.135484,Zombie
15,0,1,2,1,2.997531, TOO_NEAR
15,0,1,2,1,3.067441,Brains
15,0,1,2,1,2.998599, TOO_NEAR
16,1,0,0,0,1.067578,Rabbit
16,1,0,1,0,1.121719,Holiday
16,1,0,1,0,1.012512,Clown
16,1,0,2,0,1.127548,Holiday
16,1,0,2,0,1.12704,Zombie
16,1,0,0,1,2.996617, TOO_NEAR
16,1,0,0,1,3.330525,Jetpack
16,1,0,2,1,2.999224, TOO_NEAR
16,1,0,2,1,2.850406,Tent
16,1,0,2,1,2.99981, TOO_NEAR
16,1,0,2,1,3.536544,Zombie
16,1,0,1,1,2.997213, TOO_NEAR
16,1,0,1,1,3.057055,Icecream
16,1,0,1,1,2.999104, TOO_NEAR
16,1,0,1,1,2.996926, TOO_NEAR
16,1,0,1,1,3.236052,Seaside
16,0,1,0,0,1.498426,Aquarium
16,0,1,2,0,1.437493,Seaside
16,0,1,2,0,1.258393,Football
16,0,1,1,0,1.316556,Dream
16,0,1,1,0,1.307151,Hotel
16,0,1,0,1,2.999861, TOO_NEAR
16,0,1,0,1,2.999508, TOO_NEAR
16,0,1,0,1,3.481205,Zombie
16,0,1,1,1,2.995327, TOO_NEAR
16,0,1,1,1,3.195314,Rabbit
16,0,1,1,1,2.997071, TOO_NEAR
16,0,1,1,1,2.993853, TOO_NEAR
16,0,1,1,1,3.163787,Vegas
16,0,1,2,1,2.994168, TOO_NEAR
16,0,1,2,1,2.954414,Zombie
16,0,1,2,1,2.992482, TOO_NEAR
16,0,1,2,1,2.997854, TOO_NEAR
16,0,1,2,1,3.433086,Garlic
17,1,0,0,0,1.713028,Holiday
17,1,0,2,0,1.712281,Seaside
17,1,0,2,0,1.983692,Holiday
17,1,0,1,0,2.159203,Pizza
17,1,0,1,0,2.125538,Icecream
17,1,0,0,1,2.999168, TOO_NEAR
17,1,0,0,1,2.756443,Seaside
17,1,0,1,1,2.593505,Clown
17,1,0,1,1,1.705375,Orchestra
17,1,0,2,1,1.805742,Orchestra
17,1,0,2,1,1.991027,Orchestra
17,0,1,0,0,2.018662,Brains
17,0,1,1,0,1.922835,Aquarium
17,0,1,1,0,1.734067,Rabbit
17,0,1,2,0,1.753848,Calculator
17,0,1,2,0,1.659922,Hotel
17,0,1,0,1,1.532111,Rabbit
17,0,1,2,1,1.245992,Hotel
17,0,1,2,1,1.340847,Dream
17,0,1,1,1,1.616915,Orchestra
17,0,1,1,1,1.610288,Calculator
18,1,0,0,0,2.588048,Orchestra
18,1,0,2,0,2.988853,Seaside
18,1,0,2,0,1.94429,Dream
18,1,0,1,0,2.053966,Clown
18,1,0,1,0,1.252625,Orchestra
18,1,0,0,1,1.86654,Aquarium
18,1,0,2,1,2.035076,Orchestra
18,1,0,2,1,2.320838,Football
18,1,0,1,1,2.153954, TOO_NEAR
18,1,0,1,1,1.932479,Icecream
18,1,0,1,1,2.63492,Pizza
18,1,0,1,1,2.92935, TOO_NEAR
18,0,1,0,0,3.20795,Hotel
18,0,1,1,0,2.505195,Calculator
18,0,1,1,0,2.602096,Aquarium
18,0,1,2,0,2.820645,Android
18,0,1,2,0,2.534472,Jetpack
18,0,1,0,1,2.627146,Football
18,0,1,1,1,2.544549,Holiday
18,0,1,1,1,2.76599,Tent
18,0,1,2,1,2.764159,Jetpack
18,0,1,2,1,2.647848,Aquarium
18,0,1,2,1,2.854933, TOO_NEAR
18,0,1,2,1,2.906626, TOO_NEAR
18,0,1,2,1,2.781534, TOO_NEAR
18,0,1,2,1,2.757437, TOO_NEAR
19,1,0,0,0,7.154342,Tent
19,1,0,1,0,3.212264,Hotel
19,1,0,1,0,2.971776,Football
19,1,0,2,0,3.160922,Tent
19,1,0,2,0,2.70642,Rabbit
19,1,0,0,1,3.067094,Android
19,1,0,1,1,2.997286, TOO_NEAR
19,1,0,1,1,2.999491, TOO_NEAR
19,1,0,1,1,2.999601, TOO_NEAR
19,1,0,1,1,3.033936,Brains
19,1,0,1,1,3.486157,Holiday
19,1,0,2,1,4.284439,Rabbit
19,1,0,2,1,3.082274,Calculator
19,0,1,0,0,3.158243,Orchestra
19,0,1,2,0,2.901661,Seaside
19,0,1,2,0,2.81217,Clown
19,0,1,1,0,2.9108,Rabbit
19,0,1,1,0,2.815454,Brains
19,0,1,0,1,2.99798, TOO_NEAR
19,0,1,0,1,3.175999,Icecream
19,0,1,1,1,2.99849, TOO_NEAR
19,0,1,1,1,2.969096,Tent
19,0,1,1,1,3.01896,Garlic
19,0,1,1,1,2.999899, TOO_NEAR
19,0,1,2,1,3.80365,Seaside
19,0,1,2,1,2.999544, TOO_NEAR
19,0,1,2,1,2.980278, TOO_NEAR
19,0,1,2,1,2.957392,Hotel
20,0,0,0,0,1.239796,Jetpack
20,0,0,2,0,1.547145,Vegas
20,0,0,2,0,1.368341,Clown
20,0,0,1,0,1.429963,Icecream
20,0,0,1,0,1.832222,Brains
20,0,0,0,1,2.993965, TOO_NEAR
20,0,0,0,1,2.991746, TOO_NEAR
20,0,0,0,1,3.207548,Rabbit
20,0,0,2,1,2.998998, TOO_NEAR
